QUADRO DE CONTROLE DE OBRA;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5;Unnamed: 6;Unnamed: 7;Unnamed: 8;Unnamed: 9
;;;;;;;;;
;;;Obra: ;Complexo Alto Tietê - OAE Marginal - fase 02;;;P3931;;
;;;Estrada: ;SP-021 - Rodoanel Mário Covas - Leste;;;;;
;;;km / estaca: ;km 114+600 ao  km 117+000;;;;;
N;FOL / CÓD.;REV.;ASSUNTO;;R0;R1;R2;R3;R4
;;;;;;;;;
35;AB-SPM00021D-114.117-825-C01-035;2;Formas - Seções e detalhes do apoio 34;;2025-08-15 00:00:00;2025-10-03 00:00:00;2026-01-15 00:00:00;;
36;AB-SPM00021D-114.117-825-C01-036;2;Formas - Seções e detalhes do apoio 35;;2025-08-22 00:00:00;2025-10-03 00:00:00;2026-01-15 00:00:00;;
37;AB-SPM00021D-114.117-825-C01-037;2;Formas - Seções e detalhes do apoio 35A;;2025-08-22 00:00:00;2025-10-03 00:00:00;2026-01-15 00:00:00;;
38;AB-SPM00021D-114.117-825-C01-038;3;Formas - Seções e detalhes do apoio 36 a 45;;2025-08-22 00:00:00;2025-10-03 00:00:00;2026-01-06 00:00:00;2026-01-15 00:00:00;
39;AB-SPM00021D-114.117-825-C01-039;2;Formas - Seções e detalhes dos apoios 46 a 51;;2025-08-22 00:00:00;2026-01-06 00:00:00;2026-01-15 00:00:00;;
40;AB-SPM00021D-114.117-825-C01-040;1;Formas - Seções e detalhes do apoio 52;;2025-08-22 00:00:00;2026-01-15 00:00:00;;;
41;AB-SPM00021D-114.117-825-C01-041;2;Formas - Seções e detalhes do apoio 53;;2025-08-22 00:00:00;2025-12-02 00:00:00;2026-01-15 00:00:00;;
42;AB-SPM00021D-114.117-825-C01-042;1;Formas - Seções e detalhes do apoio 54;;2025-11-13 00:00:00;2026-01-15 00:00:00;;;
43;AB-SPM00021D-114.117-825-C01-043;1;Formas - Seções e detalhes do apoio 55;;2025-12-02 00:00:00;2026-01-15 00:00:00;;;
44;AB-SPM00021D-114.117-825-C01-044;1;Formas - Seções e detalhes do apoio 56 a 66;;2025-12-02 00:00:00;2026-01-15 00:00:00;;;
45;AB-SPM00021D-114.117-825-C01-045;1;Formas - Seções e detalhes dos apoios 23 e 24 (pórtico sinalização);;2025-10-30 00:00:00;2026-01-15 00:00:00;;;
46;AB-SPM00021D-114.117-825-C01-046;1;Formas - Seções e detalhes do apoio 67;;2026-01-15 00:00:00;2026-01-29 00:00:00;;;
47;AB-SPM00021D-114.117-825-C01-047;1;Formas - Seções e detalhes do apoio 68;;2026-01-15 00:00:00;2026-01-30 00:00:00;;;
48;AB-SPM00021D-114.117-825-C01-048;0;Formas - Seções e detalhes do apoio 69;;2026-01-30 00:00:00;;;;
49;AB-SPM00021D-114.117-825-C01-049;1;Formas - Seções e detalhes do apoio 70;;2026-02-06 00:00:00;2026-02-18 00:00:00;;;
50;AB-SPM00021D-114.117-825-C01-050;0;Formas - Seções e detalhes do apoio 71;;2026-02-17 00:00:00;;;;
51;AB-SPM00021D-114.117-825-C01-051;;Formas - Seções e detalhes do apoio 72;;;;;;
52;AB-SPM00021D-114.117-825-C01-052;;Formas - Seções e detalhes do apoio 73;;;;;;
53;AB-SPM00021D-114.117-825-C01-053;;Formas - Seções e detalhes do apoio 74 a 77, 79 e 80;;;;;;
54;AB-SPM00021D-114.117-825-C01-054;;Formas - Seções e detalhes do apoio 81;;;;;;
55;AB-SPM00021D-114.117-825-C01-055;;Formas - Seções e detalhes do apoio 82;;;;;;
56;AB-SPM00021D-114.117-825-C01-056;;Formas - Seções e detalhes do apoio 83;;;;;;
57;AB-SPM00021D-114.117-825-C01-057;;Formas - Seções e detalhes do apoio 84;;;;;;
58;AB-SPM00021D-114.117-825-C01-058;;Formas - Seções e detalhes do apoio 85;;;;;;
59;AB-SPM00021D-114.117-825-C01-059;;Formas - Seções e detalhes do apoio 86;;;;;;
60;AB-SPM00021D-114.117-825-C01-060;;Formas - Seções e detalhes do apoio 87;;;;;;
61;AB-SPM00021D-114.117-825-C01-061;;Formas - Seções e detalhes do apoio 88;;;;;;
62;AB-SPM00021D-114.117-825-C01-062;;Formas - Seções e detalhes do apoio 89;;;;;;
63;AB-SPM00021D-114.117-825-C01-063;;Formas - Seções e detalhes do apoio 90;;;;;;
64;AB-SPM00021D-114.117-825-C01-064;;Formas - Seções e detalhes do apoio 91;;;;;;
65;AB-SPM00021D-114.117-825-C01-065;;Formas - Seções e detalhes do apoio 92;;;;;;
66;AB-SPM00021D-114.117-825-C01-066;;Formas - Seções e detalhes do apoio 93;;;;;;
67;AB-SPM00021D-114.117-825-C01-067;0;Formas - Seções e detalhes do apoio 95 a 99;;2026-02-18 00:00:00;;;;
68;AB-SPM00021D-114.117-825-C01-068;0;Formas - Seções e detalhes do apoio 100 a 104;;2026-02-18 00:00:00;;;;
69;AB-SPM00021D-114.117-825-C01-069;0;Formas - Seções e detalhes do apoio 105 a 108, 110 e 111;;2026-02-18 00:00:00;;;;
