assunto;nome;fase;projetista;path;tipo_doc;obra;trecho;codigo;materia;materia_num;pagina;revisao;rev_num;rev_suf;revisao_status;tipo_arquivo
Formas - Seções e detalhes do apoio 2;AB-SPM00021D-115.117-925-C01/104;Fase 3;ENESCIL;ENESCIL/OAE AGULHA - FASE 3/AB-SPM00021D-115.117-925-C01_104.R1.dwg;AB;SPM00021D;115.117;925;C;01;104;R1;1;;DESATUALIZADO;dwg
Formas - Seções e detalhes do apoio 2;AB-SPM00021D-115.117-925-C01/104;Fase 3;ENESCIL;ENESCIL/OAE AGULHA - FASE 3/AB-SPM00021D-115.117-925-C01_104.R1.pdf;AB;SPM00021D;115.117;925;C;01;104;R1;1;;DESATUALIZADO;pdf
Formas - Seções e detalhes do apoio 2;AB-SPM00021D-115.117-925-C01/104;Fase 3;ENESCIL;ENESCIL/OAE AGULHA - FASE 3/AB-SPM00021D-115.117-925-C01_104.R2.dwg;AB;SPM00021D;115.117;925;C;01;104;R2;2;;NOVO;dwg
Formas - Seções e detalhes do apoio 2;AB-SPM00021D-115.117-925-C01/104;Fase 3;ENESCIL;ENESCIL/OAE AGULHA - FASE 3/AB-SPM00021D-115.117-925-C01_104.R2.pdf;AB;SPM00021D;115.117;925;C;01;104;R2;2;;NOVO;pdf
Formas - Seções e detalhes do apoio 3;AB-SPM00021D-115.117-925-C01/105;Fase 3;ENESCIL;ENESCIL/OAE AGULHA - FASE 3/AB-SPM00021D-115.117-925-C01_105.R0.dwg;AB;SPM00021D;115.117;925;C;01;105;R0;0;;DESATUALIZADO;dwg
Formas - Seções e detalhes do apoio 3;AB-SPM00021D-115.117-925-C01/105;Fase 3;ENESCIL;ENESCIL/OAE AGULHA - FASE 3/AB-SPM00021D-115.117-925-C01_105.R0.pdf;AB;SPM00021D;115.117;925;C;01;105;R0;0;;DESATUALIZADO;pdf
Formas - Seções e detalhes do apoio 3;AB-SPM00021D-115.117-925-C01/105;Fase 3;ENESCIL;ENESCIL/OAE AGULHA - FASE 3/AB-SPM00021D-115.117-925-C01_105.R1.dwg;AB;SPM00021D;115.117;925;C;01;105;R1;1;;NOVO;dwg
Formas - Seções e detalhes do apoio 3;AB-SPM00021D-115.117-925-C01/105;Fase 3;ENESCIL;ENESCIL/OAE AGULHA - FASE 3/AB-SPM00021D-115.117-925-C01_105.R1.pdf;AB;SPM00021D;115.117;925;C;01;105;R1;1;;NOVO;pdf
Formas - Seções e detalhes do apoio 4;AB-SPM00021D-115.117-925-C01/106;Fase 3;ENESCIL;ENESCIL/OAE AGULHA - FASE 3/AB-SPM00021D-115.117-925-C01_106.R0.dwg;AB;SPM00021D;115.117;925;C;01;106;R0;0;;DESATUALIZADO;dwg
Formas - Seções e detalhes do apoio 4;AB-SPM00021D-115.117-925-C01/106;Fase 3;ENESCIL;ENESCIL/OAE AGULHA - FASE 3/AB-SPM00021D-115.117-925-C01_106.R0.pdf;AB;SPM00021D;115.117;925;C;01;106;R0;0;;DESATUALIZADO;pdf
